line,priority,category,current,action,target
1554,high,activity_heading,#### Annotated Model (B4) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1559,medium,annotation_label,> **[Annotation: Opens by acknowledging the reader's action rather than immediately raising the problem — this reduces defensiveness.]**,Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1562,medium,annotation_label,"> **[Annotation: ""It appears that"" and ""may differ"" soften the identification of error — the problem is presented as a possible observation, not a confirmed accusation.]**",Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1565,medium,annotation_label,> **[Annotation: Specific reference to a date and a document type adds credibility and gives the reader a clear starting point for checking the issue.]**,Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1568,medium,annotation_label,"> **[Annotation: The request is framed around a shared professional goal (""consistency"") rather than a personal demand — this shifts the focus from fault to resolution.]**",Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1571,medium,annotation_label,"> **[Annotation: The message keeps three functions separate: it identifies the issue first, then signals why the difference matters, and only then asks for action. This separation makes the request easier to process and keeps the tone non-blaming.]**",Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1574,medium,annotation_label,"> **[Annotation: The next-step statement shows that the writer is ready to act — it frames the request as a necessary step, not a complaint.]**",Convert to annotation component,`annotation`: compact metadata/instructor-facing label.
1580,low,theory_subsection,#### 1. Diplomatic Frames for Highlighting Errors,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1595,high,activity_heading,#### Practice A — Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1607,low,theory_subsection,#### 2. Explaining Impact without Assigning Blame,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1621,high,activity_heading,#### Practice B — Error Identification & Correction (C4) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
