line,priority,change_type,target_class,current_text,action,target_pattern,notes
1032,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1048,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1049,high,normalize_placeholder_line,placeholder,{{PH-2: U04-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U04-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
1055,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Treat the template as a sequence of communicative jobs, not as a rigid formula. Each section should help the reader understand why you are writing, what you need, and what happens next.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
1058,medium,normalize_bold_structural_label,semantic-label,**Template:**,Convert bold structural label to compact label style or Div if block-level,**Template:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
1060,medium,convert_or_review_blockquote_group,semantic-div,> *[Opening — acknowledge or establish context]*,Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1072,medium,normalize_bold_structural_label,semantic-label,**Scenario:** Your office received a revised procedural document from an interagency partner. Two sections appear to use different terminology from the version you were working from. You need to request clarification before updating your internal records.,Convert bold structural label to compact label style or Div if block-level,**Scenario:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
1090,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1091,high,normalize_placeholder_line,placeholder,{{PH-3: U04-D2-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U04-D2-guided-draft}}
:::",Preserve the placeholder token exactly.
1117,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1118,high,normalize_placeholder_line,placeholder,{{PH-4: U04-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U04-E1-freer-write}}
:::",Preserve the placeholder token exactly.
1122,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Peer Review — Activity Focus (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1133,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1147,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1151,medium,convert_or_review_blockquote_group,semantic-div,"> *""We saw your message. Please send the corrected file. We also need you to check the translation. We want to finish the review soon.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1160,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
1161,high,normalize_placeholder_line,placeholder,{{PH-2: U04-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U04-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
1165,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1185,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1186,high,normalize_placeholder_line,placeholder,{{PH-4: U04-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U04-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
1188,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1214,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Problem Identification (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Problem Identification — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1218,medium,convert_or_review_blockquote_group,semantic-div,"> *""We have some questions about the document. Can you explain the parts that are unclear? Also, is the date correct?""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1230,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1234,medium,convert_or_review_blockquote_group,semantic-div,"> *""We have some questions about the document. Can you explain the parts that are unclear? Also, is the date correct?""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1238,medium,convert_or_review_blockquote_group,semantic-div,"> *""Thank you for sharing the revised document. For our confirmation, we would appreciate clarification on two points. First, in Section 2.3, the date listed appears to differ from the timeline provided in Annex A; could you confirm which version is correct? Second, the term 'applicant request' is used in several places — could you clarify whether it refers specifically to written submission or includes verbal requests as well? Once confirmed, we will proceed with updating our internal records.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1247,high,convert_blockquote_to_learn_div,learn-process,> **Why this works:** The improved version is easier to answer because each question is anchored to a specific place in the document and asks for one clear piece of clarification. The reader does not have to guess what is unclear or what kind of answer is needed.,Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
1252,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
